DepoKodu;Barkod;UrunKodu;RenkKodu;Boyut1;Boyut2;Boyut3;Miktar
1-3001-1;8680374007212;TAK19790810A;001;34;;;1
1-3001-1;8680374007229;TAK19790810A;001;36;;;2
1-3001-1;8680374007236;TAK19790810A;001;38;;;3
1-3001-1;8680374007243;TAK19790810A;002;34;;;4
1-3001-1;8680374007250;TAK19790810A;002;36;;;-5
1-3001-1;8680374007267;TAK19790810A;002;38;;;6
1-3001-1;8680374007274;TAK19790810A;003;34;;;7
1-3001-1;8680374007281;TAK19790810A;003;36;;;8
1-3001-1;8680374007298;TAK19790810A;003;38;;;9
1-3001-1;8680374007304;TAK19790810A;004;34;;;-10
1-3001-1;8680374007311;TAK19790810A;004;36;;;11
1-3001-1;8680374007328;TAK19790810A;004;38;;;12
1-3001-1;8680374007335;TAK19790810A;005;34;;;13
1-3001-1;8680374007342;TAK19790810A;005;36;;;14
1-3001-1;8680374007359;TAK19790810A;005;38;;;-15
1-3002-1;8680374007212;TAK19790810A;001;34;;;16
1-3002-1;8680374007229;TAK19790810A;001;36;;;17
1-3002-1;8680374007236;TAK19790810A;001;38;;;18
1-3002-1;8680374007243;TAK19790810A;002;34;;;19
1-3002-1;8680374007250;TAK19790810A;002;36;;;-20
1-3002-1;8680374007267;TAK19790810A;002;38;;;21
1-3002-1;8680374007274;TAK19790810A;003;34;;;22
1-3002-1;8680374007281;TAK19790810A;003;36;;;23
1-3002-1;8680374007298;TAK19790810A;003;38;;;24
1-3002-1;8680374007304;TAK19790810A;004;34;;;-25
1-3002-1;8680374007311;TAK19790810A;004;36;;;26
1-3002-1;8680374007328;TAK19790810A;004;38;;;27
1-3002-1;8680374007335;TAK19790810A;005;34;;;28
1-3002-1;8680374007342;TAK19790810A;005;36;;;29
1-3002-1;8680374007359;TAK19790810A;005;38;;;-30
810;8680374007212;TAK19790810A;001;34;;;31
810;8680374007229;TAK19790810A;001;36;;;32
810;8680374007236;TAK19790810A;001;38;;;33
810;8680374007243;TAK19790810A;002;34;;;34
810;8680374007250;TAK19790810A;002;36;;;-35
810;8680374007267;TAK19790810A;002;38;;;36
810;8680374007274;TAK19790810A;003;34;;;37
810;8680374007281;TAK19790810A;003;36;;;38
810;8680374007298;TAK19790810A;003;38;;;39
810;8680374007304;TAK19790810A;004;34;;;-40
810;8680374007311;TAK19790810A;004;36;;;41
810;8680374007328;TAK19790810A;004;38;;;42
810;8680374007335;TAK19790810A;005;34;;;43
810;8680374007342;TAK19790810A;005;36;;;44
810;8680374007359;TAK19790810A;005;38;;;-45
820;8680374007212;TAK19790810A;001;34;;;46
820;8680374007229;TAK19790810A;001;36;;;47
820;8680374007236;TAK19790810A;001;38;;;48
820;8680374007243;TAK19790810A;002;34;;;49
820;8680374007250;TAK19790810A;002;36;;;-50
820;8680374007267;TAK19790810A;002;38;;;51
820;8680374007274;TAK19790810A;003;34;;;52
820;8680374007281;TAK19790810A;003;36;;;53
820;8680374007298;TAK19790810A;003;38;;;54
820;8680374007304;TAK19790810A;004;34;;;-55
820;8680374007311;TAK19790810A;004;36;;;56
820;8680374007328;TAK19790810A;004;38;;;57
820;8680374007335;TAK19790810A;005;34;;;58
820;8680374007342;TAK19790810A;005;36;;;59
820;8680374007359;TAK19790810A;005;38;;;-60
M001;8680374007212;TAK19790810A;001;34;;;61
M001;8680374007229;TAK19790810A;001;36;;;62
M001;8680374007236;TAK19790810A;001;38;;;63
M001;8680374007243;TAK19790810A;002;34;;;64
M001;8680374007250;TAK19790810A;002;36;;;-65
M001;8680374007267;TAK19790810A;002;38;;;66
M001;8680374007274;TAK19790810A;003;34;;;67
M001;8680374007281;TAK19790810A;003;36;;;68
M001;8680374007298;TAK19790810A;003;38;;;69
M001;8680374007304;TAK19790810A;004;34;;;-70
M001;8680374007311;TAK19790810A;004;36;;;71
M001;8680374007328;TAK19790810A;004;38;;;72
M001;8680374007335;TAK19790810A;005;34;;;73
M001;8680374007342;TAK19790810A;005;36;;;74
M001;8680374007359;TAK19790810A;005;38;;;-75
M002;8680374007212;TAK19790810A;001;34;;;76
M002;8680374007229;TAK19790810A;001;36;;;77
M002;8680374007236;TAK19790810A;001;38;;;78
M002;8680374007243;TAK19790810A;002;34;;;79
M002;8680374007250;TAK19790810A;002;36;;;-80
M002;8680374007267;TAK19790810A;002;38;;;81
M002;8680374007274;TAK19790810A;003;34;;;82
M002;8680374007281;TAK19790810A;003;36;;;83
M002;8680374007298;TAK19790810A;003;38;;;84
M002;8680374007304;TAK19790810A;004;34;;;-85
M002;8680374007311;TAK19790810A;004;36;;;86
M002;8680374007328;TAK19790810A;004;38;;;87
M002;8680374007335;TAK19790810A;005;34;;;88
M002;8680374007342;TAK19790810A;005;36;;;89
M002;8680374007359;TAK19790810A;005;38;;;-90
M003;8680374007212;TAK19790810A;001;34;;;91
M003;8680374007229;TAK19790810A;001;36;;;92
M003;8680374007236;TAK19790810A;001;38;;;93
M003;8680374007243;TAK19790810A;002;34;;;94
M003;8680374007250;TAK19790810A;002;36;;;-95
M003;8680374007267;TAK19790810A;002;38;;;96
M003;8680374007274;TAK19790810A;003;34;;;97
M003;8680374007281;TAK19790810A;003;36;;;98
M003;8680374007298;TAK19790810A;003;38;;;99
M003;8680374007304;TAK19790810A;004;34;;;-100
M003;8680374007311;TAK19790810A;004;36;;;101
M003;8680374007328;TAK19790810A;004;38;;;102
M003;8680374007335;TAK19790810A;005;34;;;103
M003;8680374007342;TAK19790810A;005;36;;;104
M003;8680374007359;TAK19790810A;005;38;;;-105
